Days to Ship,Sales Forecast,Ship Status,Category,City,Country,Customer Name,Order Date,Order ID,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Mode,State,Sub-Category
1,42,Shipped On Time,Office Supplies,Inglewood,United States,Luke Foster,12/8/17,CA-2017-148264,Akro-Mils 12-Gallon Tote,8.6391,3,West,29.79,Consumer,First Class,California,Storage
1,181,Shipped On Time,Furniture,Inglewood,United States,Luke Foster,12/8/17,CA-2017-148264,"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",15.468,2,West,128.9,Consumer,First Class,California,Furnishings
1,84,Shipped On Time,Office Supplies,Inglewood,United States,Luke Foster,12/8/17,CA-2017-148264,Xerox 1968,28.8576,9,West,60.12,Consumer,First Class,California,Paper
4,97,Shipped Late,Office Supplies,San Francisco,United States,Alan Schoenberger,12/8/17,CA-2017-117926,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,20.844,1,West,69.48,Corporate,Second Class,California,Appliances
6,123,Shipped On Time,Office Supplies,San Francisco,United States,Denise Monton,12/8/17,CA-2017-108854,Standard Line ñWhile You Were Outî Hardbound Telephone Message Book,40.4432,4,West,87.92,Corporate,Standard Class,California,Paper
6,60,Shipped On Time,Office Supplies,San Francisco,United States,Denise Monton,12/8/17,CA-2017-108854,"SAFCO Mobile Desk Side File, Wire Frame",11.1176,1,West,42.76,Corporate,Standard Class,California,Storage
5,250,Shipped Early,Technology,Madison,United States,Jeremy Pistek,12/8/17,CA-2017-117324,Logitech G105 Gaming Keyboard,32.0598,3,Central,178.11,Consumer,Standard Class,Wisconsin,Accessories
5,1527,Shipped Early,Office Supplies,Madison,United States,Jeremy Pistek,12/8/17,CA-2017-117324,Hoover WindTunnel Plus Canister Vacuum,305.13,3,Central,1089.75,Consumer,Standard Class,Wisconsin,Appliances
5,86,Shipped Early,Office Supplies,Madison,United States,Jeremy Pistek,12/8/17,CA-2017-117324,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",28.0876,2,Central,61.06,Consumer,Standard Class,Wisconsin,Labels
5,645,Shipped Early,Furniture,Madison,United States,Jeremy Pistek,12/8/17,CA-2017-117324,"Sauder Camden County Collection Libraries, Planked Cherry Finish",41.3928,4,Central,459.92,Consumer,Standard Class,Wisconsin,Bookcases
5,39,Shipped Early,Office Supplies,Madison,United States,Jeremy Pistek,12/8/17,CA-2017-117324,"Adams Phone Message Book, 200 Message Capacity, 8 1/16î x 11î",12.6592,4,Central,27.52,Consumer,Standard Class,Wisconsin,Paper
2,831,Shipped Early,Office Supplies,Cranston,United States,Carl Weiss,12/8/17,CA-2017-152436,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",160.0398,6,East,592.74,Home Office,Second Class,Rhode Island,Storage
4,1874,Shipped Early,Furniture,San Francisco,United States,Keith Herrera,12/8/17,CA-2017-117457,O'Sullivan 4-Shelf Bookcase in Odessa Pine,31.4548,13,West,1336.829,Consumer,Standard Class,California,Bookcases
4,1682,Shipped Early,Technology,San Francisco,United States,Keith Herrera,12/8/17,CA-2017-117457,Sharp AL-1530CS Digital Copier,434.9913,3,West,1199.976,Consumer,Standard Class,California,Copiers
4,1407,Shipped Early,Furniture,San Francisco,United States,Keith Herrera,12/8/17,CA-2017-117457,"Bevis Round Conference Table Top, X-Base",-112.9527,7,West,1004.024,Consumer,Standard Class,California,Tables
4,159,Shipped Early,Furniture,San Francisco,United States,Keith Herrera,12/8/17,CA-2017-117457,Novimex High-Tech Fabric Mesh Task Chair,-18.4548,2,West,113.568,Consumer,Standard Class,California,Chairs
6,31,Shipped On Time,Office Supplies,San Francisco,United States,Denise Monton,12/8/17,CA-2017-108854,"Performers Binder/Pad Holder, Black",8.409,1,West,22.424,Corporate,Standard Class,California,Binders
6,127,Shipped On Time,Office Supplies,San Francisco,United States,Denise Monton,12/8/17,CA-2017-108854,Vinyl Sectional Post Binders,33.93,3,West,90.48,Corporate,Standard Class,California,Binders
3,19,Shipped Late,Office Supplies,Philadelphia,United States,Max Jones,12/8/17,US-2017-131961,BIC Brite Liner Highlighters,3.6432,4,East,13.248,Consumer,First Class,Pennsylvania,Art
7,302,Shipped Late,Furniture,Philadelphia,United States,Emily Grady,12/8/17,US-2017-167570,Global Deluxe Steno Chair,-58.5048,4,East,215.544,Consumer,Standard Class,Pennsylvania,Chairs
3,118,Shipped Late,Technology,Philadelphia,United States,Max Jones,12/8/17,US-2017-131961,iHome FM Clock Radio with Lightning Dock,-20.997,2,East,83.988,Consumer,First Class,Pennsylvania,Phones
4,115,Shipped Early,Furniture,Richmond,United States,Debra Catini,12/7/17,US-2017-136189,DAX Wood Document Frame.,25.5378,6,South,82.38,Consumer,Standard Class,Virginia,Furnishings
5,449,Shipped Early,Office Supplies,Hattiesburg,United States,Brosina Hoffman,12/7/17,CA-2017-135587,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",89.7792,4,South,320.64,Consumer,Standard Class,Mississippi,Appliances
5,73,Shipped Early,Technology,Hattiesburg,United States,Brosina Hoffman,12/7/17,CA-2017-135587,Memorex Micro Travel Drive 8 GB,23.4,4,South,52,Consumer,Standard Class,Mississippi,Accessories
7,70,Shipped Late,Office Supplies,San Francisco,United States,Tracy Collins,12/7/17,CA-2017-142328,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",25.02,6,West,50.04,Home Office,Standard Class,California,Paper
3,525,Shipped Late,Technology,Los Angeles,United States,Frank Preis,12/7/17,CA-2017-137099,Cisco SPA301,46.797,3,West,374.376,Consumer,First Class,California,Phones
5,5,Shipped Early,Office Supplies,San Antonio,United States,David Smith,12/7/17,CA-2017-134285,Binder Clips by OIC,1.2432,3,Central,3.552,Corporate,Standard Class,Texas,Fasteners
5,22,Shipped Early,Office Supplies,San Antonio,United States,David Smith,12/7/17,CA-2017-134285,Xerox 1995,5.4432,3,Central,15.552,Corporate,Standard Class,Texas,Paper
2,179,Shipped Late,Technology,Toledo,United States,Shahid Hopkins,12/7/17,CA-2017-157980,Logitech G602 Wireless Gaming Mouse,25.5968,2,East,127.984,Consumer,First Class,Ohio,Accessories
6,2649,Shipped On Time,Office Supplies,Chicago,United States,Henry Goldwyn,12/7/17,US-2017-122714,Ibico EPK-21 Electric Binding System,-2929.4845,5,Central,1889.99,Corporate,Standard Class,Illinois,Binders
2,15,Shipped Early,Office Supplies,Brentwood,United States,Brad Norvell,12/6/17,US-2017-149006,Staple magnet,2.8836,1,West,10.68,Corporate,Second Class,California,Storage
3,86,Shipped Late,Office Supplies,Columbus,United States,Rob Beeghly,12/5/17,CA-2017-130351,Kensington 6 Outlet Guardian Standard Surge Protector,16.5888,3,Central,61.44,Consumer,First Class,Indiana,Appliances
3,55,Shipped Late,Office Supplies,Columbus,United States,Rob Beeghly,12/5/17,CA-2017-130351,"Southworth 100% R_sum_ Paper, 24lb.",17.505,5,Central,38.9,Consumer,First Class,Indiana,Paper
3,139,Shipped Late,Technology,Columbus,United States,Rob Beeghly,12/5/17,CA-2017-130351,Imationæ16GB Mini TravelDrive USB 2.0æFlash Drive,40.7499,3,Central,99.39,Consumer,First Class,Indiana,Accessories
2,130,Shipped Early,Office Supplies,San Diego,United States,Naresj Patel,12/5/17,CA-2017-126865,Xerox 1960,41.823,3,West,92.94,Consumer,Second Class,California,Paper
5,287,Shipped Early,Technology,Burlington,United States,Quincy Jones,12/5/17,CA-2017-104066,Logitech ClearChat Comfort/USB Headset H390,67.6599,7,East,205.03,Corporate,Standard Class,Vermont,Accessories
6,29,Shipped On Time,Furniture,New York City,United States,Suzanne McNair,12/5/17,CA-2017-105235,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",6.0726,3,East,20.94,Corporate,Standard Class,New York,Furnishings
6,82,Shipped On Time,Furniture,New York City,United States,Suzanne McNair,12/5/17,CA-2017-105235,"Seth Thomas 14"" Putty-Colored Wall Clock",18.1908,2,East,58.68,Corporate,Standard Class,New York,Furnishings
6,357,Shipped On Time,Office Supplies,New York City,United States,Suzanne McNair,12/5/17,CA-2017-105235,Eureka The Boss Cordless Rechargeable Stick Vac,68.823,5,East,254.9,Corporate,Standard Class,New York,Appliances
3,59,Shipped Late,Furniture,New York City,United States,Carlos Soltero,12/5/17,US-2017-126053,Magnifier Swing Arm Lamp,10.9096,2,East,41.96,Consumer,First Class,New York,Furnishings
3,13,Shipped Late,Office Supplies,New York City,United States,Carlos Soltero,12/5/17,US-2017-126053,Self-Adhesive Removable Labels,4.536,3,East,9.45,Consumer,First Class,New York,Labels
1,280,Shipped On Time,Furniture,Seattle,United States,Patrick Bzostek,12/5/17,CA-2017-156958,Eldon Radial Chair Mat for Low to Medium Pile Carpets,39.98,5,West,199.9,Home Office,First Class,Washington,Furnishings
3,30,Shipped On Time,Office Supplies,New York City,United States,Bart Folk,12/5/17,CA-2017-117128,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",9.936,6,East,21.6,Consumer,Second Class,New York,Paper
3,16,Shipped On Time,Office Supplies,New York City,United States,Bart Folk,12/5/17,CA-2017-117128,Avery 52,5.2029,3,East,11.07,Consumer,Second Class,New York,Labels
4,35,Shipped Early,Office Supplies,Bellevue,United States,Alan Barnes,12/5/17,CA-2017-131212,GBC Wire Binding Combs,8.3754,3,West,24.816,Consumer,Standard Class,Washington,Binders
4,21,Shipped Early,Office Supplies,Bellevue,United States,Alan Barnes,12/5/17,CA-2017-131212,Zipper Ring Binder Pockets,5.4288,6,West,14.976,Consumer,Standard Class,Washington,Binders
1,118,Shipped On Time,Office Supplies,Seattle,United States,Patrick Bzostek,12/5/17,CA-2017-156958,GBC Premium Transparent Covers with Diagonal Lined Pattern,29.372,5,West,83.92,Home Office,First Class,Washington,Binders
1,44,Shipped On Time,Technology,Seattle,United States,Patrick Bzostek,12/5/17,CA-2017-156958,Cyber Acoustics AC-202b Speech Recognition Stereo Headset,-7.0146,3,West,31.176,Home Office,First Class,Washington,Phones
1,242,Shipped On Time,Office Supplies,Seattle,United States,Patrick Bzostek,12/5/17,CA-2017-156958,GBC VeloBinder Manual Binding System,60.4632,6,West,172.752,Home Office,First Class,Washington,Binders
1,13,Shipped On Time,Office Supplies,Seattle,United States,Patrick Bzostek,12/5/17,CA-2017-156958,Fellowes Black Plastic Comb Bindings,3.0212,2,West,9.296,Home Office,First Class,Washington,Binders
4,12,Shipped Early,Office Supplies,Rochester,United States,Theone Pippenger,12/4/17,US-2017-107384,Newell 310,2.552,5,Central,8.8,Consumer,Standard Class,Minnesota,Art
4,200,Shipped Early,Technology,Rochester,United States,Theone Pippenger,12/4/17,US-2017-107384,First Data TMFD35 PIN Pad,29.988,1,Central,142.8,Consumer,Standard Class,Minnesota,Accessories
4,561,Shipped Early,Technology,Rochester,United States,Theone Pippenger,12/4/17,US-2017-107384,Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,143.982,5,Central,399.95,Consumer,Standard Class,Minnesota,Accessories
2,16,Shipped Late,Office Supplies,Los Angeles,United States,Chris Selesnick,12/4/17,CA-2017-153227,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",5.7624,2,West,11.76,Corporate,First Class,California,Paper
6,18,Shipped On Time,Furniture,Paterson,United States,Doug O'Connell,12/4/17,CA-2017-118003,"Tensor ""Hersey Kiss"" Styled Floor Lamp",1.5588,1,East,12.99,Consumer,Standard Class,New Jersey,Furnishings
6,255,Shipped On Time,Furniture,Paterson,United States,Doug O'Connell,12/4/17,CA-2017-118003,"Global Value Steno Chair, Gray",45.555,3,East,182.22,Consumer,Standard Class,New Jersey,Chairs
6,425,Shipped On Time,Furniture,Paterson,United States,Doug O'Connell,12/4/17,CA-2017-118003,Global Low Back Tilter Chair,18.1764,3,East,302.94,Consumer,Standard Class,New Jersey,Chairs
5,77,Shipped Early,Furniture,Philadelphia,United States,Michael Stewart,12/4/17,CA-2017-117667,Hand-Finished Solid Wood Document Frame,6.846,2,East,54.768,Corporate,Standard Class,Pennsylvania,Furnishings
5,19,Shipped Early,Office Supplies,Philadelphia,United States,Michael Stewart,12/4/17,CA-2017-117667,DIXON Ticonderoga Erasable Checking Pencils,3.1806,3,East,13.392,Corporate,Standard Class,Pennsylvania,Art
5,34,Shipped Early,Office Supplies,Philadelphia,United States,Michael Stewart,12/4/17,CA-2017-117667,Xerox 1956,8.671,5,East,23.92,Corporate,Standard Class,Pennsylvania,Paper
5,359,Shipped Early,Technology,Philadelphia,United States,Michael Stewart,12/4/17,CA-2017-117667,Logitech G13 Programmable Gameboard with LCD Display,-28.7964,4,East,255.968,Corporate,Standard Class,Pennsylvania,Accessories
5,86,Shipped Early,Office Supplies,Chicago,United States,Christy Brittain,12/4/17,CA-2017-152660,Advantus Rolling Drawer Organizers,4.6176,2,Central,61.568,Consumer,Standard Class,Illinois,Storage
3,104,Shipped On Time,Office Supplies,Fairfield,United States,Larry Tron,12/4/17,CA-2017-160031,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",23.235,3,East,74.352,Consumer,Second Class,Ohio,Paper
1,16,Shipped On Time,Furniture,Philadelphia,United States,Katrina Edelman,12/4/17,CA-2017-147550,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,2.6961,3,East,11.352,Corporate,First Class,Pennsylvania,Furnishings
0,264,Shipped On Time,Furniture,Philadelphia,United States,Darrin Van Huff,12/4/17,CA-2017-139773,"Safco Chair Connectors, 6/Carton",-2.6936,7,East,188.552,Corporate,Same Day,Pennsylvania,Chairs
5,336,Shipped Early,Furniture,Philadelphia,United States,Michael Stewart,12/4/17,CA-2017-117667,Global Chrome Stack Chair,-10.284,10,East,239.96,Corporate,Standard Class,Pennsylvania,Chairs
5,910,Shipped Early,Technology,Nashville,United States,Lena Radford,12/4/17,CA-2017-109183,Okidata C610n Printer,-272.58,2,South,649,Consumer,Standard Class,Tennessee,Machines
4,7,Shipped Early,Office Supplies,Philadelphia,United States,Charles McCrossin,12/4/17,CA-2017-156412,Storex Dura Pro Binders,-4.455,3,East,5.346,Consumer,Standard Class,Pennsylvania,Binders
6,192,Shipped On Time,Technology,New York City,United States,Chuck Sachs,12/3/17,CA-2017-148691,AT&T 1080 Corded phone,36.9873,1,East,136.99,Consumer,Standard Class,New York,Phones
6,4,Shipped On Time,Office Supplies,New York City,United States,Chuck Sachs,12/3/17,CA-2017-148691,Avery 520,1.512,1,East,3.15,Consumer,Standard Class,New York,Labels
0,233,Shipped On Time,Office Supplies,San Diego,United States,Toby Carlisle,12/3/17,CA-2017-136875,Xerox 1888,79.8912,3,West,166.44,Consumer,Same Day,California,Paper
4,732,Shipped Late,Furniture,Seattle,United States,Corinna Mitchell,12/3/17,CA-2017-143126,"Bevis Oval Conference Table, Walnut",88.7332,2,West,521.96,Home Office,Second Class,Washington,Tables
6,118,Shipped On Time,Office Supplies,New York City,United States,Chuck Sachs,12/3/17,CA-2017-148691,GBC Premium Transparent Covers with Diagonal Lined Pattern,29.372,5,East,83.92,Consumer,Standard Class,New York,Binders
6,20,Shipped On Time,Office Supplies,New York City,United States,Chuck Sachs,12/3/17,CA-2017-148691,SpineVue Locking Slant-D Ring Binders by Cardinal,5.1184,2,East,14.624,Consumer,Standard Class,New York,Binders
2,67,Shipped Early,Technology,Jacksonville,United States,Natalie DeCherney,12/3/17,CA-2017-128699,Kensington Orbit Wireless Mobile Trackball for PC and Mac,7.1988,1,South,47.992,Consumer,Second Class,Florida,Accessories
7,63,Shipped Late,Office Supplies,Fayetteville,United States,Matt Collins,12/3/17,US-2017-149510,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,4.5216,3,South,45.216,Consumer,Standard Class,North Carolina,Appliances
7,34,Shipped Late,Office Supplies,Fayetteville,United States,Matt Collins,12/3/17,US-2017-149510,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",8.8624,4,South,24.448,Consumer,Standard Class,North Carolina,Paper
3,15,Shipped Late,Office Supplies,Plano,United States,Clay Cheatham,12/3/17,CA-2017-123071,Xerox 1998,3.6288,2,Central,10.368,Consumer,First Class,Texas,Paper
3,19,Shipped On Time,Office Supplies,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,Newell 344,1.0008,6,West,13.344,Consumer,Second Class,Colorado,Art
3,108,Shipped On Time,Technology,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,Memorex Micro Travel Drive 16 GB,10.5534,6,West,76.752,Consumer,Second Class,Colorado,Accessories
3,143,Shipped On Time,Technology,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,Memorex Micro Travel Drive 16 GB,14.0712,8,West,102.336,Consumer,Second Class,Colorado,Accessories
3,14,Shipped On Time,Office Supplies,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",3.741,2,West,10.32,Consumer,Second Class,Colorado,Paper
3,66,Shipped On Time,Office Supplies,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,"Elite 5"" Scissors",5.915,7,West,47.32,Consumer,Second Class,Colorado,Supplies
3,33,Shipped On Time,Furniture,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,Staple-based wall hangings,7.0128,3,West,23.376,Consumer,Second Class,Colorado,Furnishings
3,23,Shipped On Time,Furniture,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,"Eldon Image Series Desk Accessories, Burgundy",3.344,5,West,16.72,Consumer,Second Class,Colorado,Furnishings
3,23,Shipped On Time,Furniture,Thornton,United States,Lena Cacioppo,12/3/17,CA-2017-118017,DAX Two-Tone Silver Metal Document Frame,4.6552,1,West,16.192,Consumer,Second Class,Colorado,Furnishings
5,19,Shipped Early,Furniture,Houston,United States,Mark Van Huff,12/3/17,CA-2017-103415,Tensor Brushed Steel Torchiere Floor Lamp,-14.2716,2,Central,13.592,Consumer,Standard Class,Texas,Furnishings
7,40,Shipped Late,Office Supplies,Fayetteville,United States,Matt Collins,12/3/17,US-2017-149510,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",-21.1068,6,South,28.782,Consumer,Standard Class,North Carolina,Binders
3,784,Shipped Late,Office Supplies,San Francisco,United States,Victoria Wilson,12/2/17,CA-2017-116715,"Fellowes Mobile File Cart, Black",151.0974,9,West,559.62,Corporate,First Class,California,Storage
3,154,Shipped Late,Office Supplies,San Francisco,United States,Victoria Wilson,12/2/17,CA-2017-116715,Xerox 1940,53.8608,2,West,109.92,Corporate,First Class,California,Paper
3,12,Shipped Late,Office Supplies,San Francisco,United States,Victoria Wilson,12/2/17,CA-2017-116715,Xerox 1962,3.852,2,West,8.56,Corporate,First Class,California,Paper
3,49,Shipped Late,Office Supplies,Charlottesville,United States,Adam Shillingsburg,12/2/17,US-2017-108063,Newell 309,10.395,3,South,34.65,Consumer,First Class,Virginia,Art
1,15,Shipped Late,Office Supplies,Los Angeles,United States,Alice McCarthy,12/2/17,CA-2017-109701,"Wirebound Message Book, 4 per Page",5.3214,2,West,10.86,Corporate,Same Day,California,Paper
1,111,Shipped Late,Office Supplies,Los Angeles,United States,Alice McCarthy,12/2/17,CA-2017-109701,Fellowes Advanced Computer Series Surge Protectors,22.2516,3,West,79.47,Corporate,Same Day,California,Appliances
1,14,Shipped Late,Office Supplies,Los Angeles,United States,Alice McCarthy,12/2/17,CA-2017-109701,Prang Dustless Chalk Sticks,5.04,6,West,10.08,Corporate,Same Day,California,Art
4,3476,Shipped Early,Technology,Omaha,United States,Juliana Krohn,12/2/17,CA-2017-160885,ClearOne CHATAttach 160 -æspeaker phone,743.988,4,Central,2479.96,Consumer,Standard Class,Nebraska,Phones
4,252,Shipped Early,Office Supplies,Oakland,United States,Brenda Bowman,12/2/17,CA-2017-102379,Panasonic KP-380BK Classic Electric Pencil Sharpener,44.975,5,West,179.9,Corporate,Standard Class,California,Art
3,984,Shipped Late,Furniture,Salem,United States,Max Engle,12/2/17,CA-2017-143756,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,168.4704,2,South,701.96,Consumer,First Class,Virginia,Chairs
2,402,Shipped Late,Office Supplies,Lowell,United States,Kunst Miller,12/2/17,CA-2017-167395,Belkin 8 Outlet Surge Protector,80.3208,7,East,286.86,Consumer,First Class,Massachusetts,Appliances
2,1373,Shipped Late,Technology,Lowell,United States,Kunst Miller,12/2/17,CA-2017-167395,GE 30524EE4,284.1855,5,East,979.95,Consumer,First Class,Massachusetts,Phones
2,6,Shipped Late,Office Supplies,Lowell,United States,Kunst Miller,12/2/17,CA-2017-167395,Staple remover,0.1744,2,East,4.36,Consumer,First Class,Massachusetts,Supplies
5,67,Shipped Early,Office Supplies,Miami,United States,Michael Kennedy,12/2/17,CA-2017-164917,Bulldog Vacuum Base Pencil Sharpener,4.1965,5,South,47.96,Corporate,Standard Class,Florida,Art
1,13,Shipped Late,Office Supplies,Los Angeles,United States,Alice McCarthy,12/2/17,CA-2017-109701,3-ring staple pack,3.1584,6,West,9.024,Corporate,Same Day,California,Binders
1,97,Shipped Late,Office Supplies,Los Angeles,United States,Alice McCarthy,12/2/17,CA-2017-109701,Satellite Sectional Post Binders,22.5732,2,West,69.456,Corporate,Same Day,California,Binders
4,56,Shipped Early,Technology,Oakland,United States,Brenda Bowman,12/2/17,CA-2017-102379,Anker Astro 15000mAh USB Portable Charger,-7.9984,1,West,39.992,Corporate,Standard Class,California,Phones
4,1625,Shipped Early,Furniture,Oakland,United States,Brenda Bowman,12/2/17,CA-2017-102379,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,43.4646,9,West,1159.056,Corporate,Standard Class,California,Chairs
7,17,Shipped Late,Office Supplies,Houston,United States,Roy Phan,12/2/17,CA-2017-104108,Manco Dry-Lighter Erasable Highlighter,2.128,5,Central,12.16,Corporate,Standard Class,Texas,Art
6,46,Shipped On Time,Office Supplies,Greensboro,United States,Barry Gonzalez,12/2/17,CA-2017-165715,Sanford 52201 APSCO Electric Pencil Sharpener,2.4582,1,South,32.776,Consumer,Standard Class,North Carolina,Art
4,160,Shipped Early,Office Supplies,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,Letter Size Cart,12.8574,1,West,114.288,Corporate,Standard Class,Colorado,Storage
4,70,Shipped Early,Technology,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,4.9616,2,West,49.616,Corporate,Standard Class,Colorado,Phones
4,713,Shipped Early,Furniture,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",0,6,West,508.704,Corporate,Standard Class,Colorado,Furnishings
4,80,Shipped Early,Technology,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,Macally Suction Cup Mount,-14.34,6,West,57.36,Corporate,Standard Class,Colorado,Phones
4,1271,Shipped Early,Furniture,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,Hon GuestStacker Chair,68.001,5,West,906.68,Corporate,Standard Class,Colorado,Chairs
5,28,Shipped Early,Office Supplies,Lakewood,United States,Erin Smith,12/2/17,CA-2017-157469,Rogers Handheld Barrel Pencil Sharpener,1.7262,9,East,19.728,Corporate,Standard Class,Ohio,Art
5,212,Shipped Early,Technology,Lakewood,United States,Erin Smith,12/2/17,CA-2017-157469,AT&T CL2909,-25.198,2,East,151.188,Corporate,Standard Class,Ohio,Phones
2,12,Shipped Early,Furniture,Houston,United States,Joy Smith,12/2/17,US-2017-147221,Advantus Panel Wall Acrylic Frame,-3.7196,4,Central,8.752,Consumer,Second Class,Texas,Furnishings
4,64,Shipped Early,Office Supplies,Tampa,United States,Daniel Byrd,12/2/17,CA-2017-155089,"Premier Elliptical Ring Binder, Black",-33.484,5,South,45.66,Home Office,Standard Class,Florida,Binders
7,885,Shipped Late,Office Supplies,Philadelphia,United States,Giulietta Weimer,12/2/17,CA-2017-155075,GBC DocuBind 300 Electric Binding Machine,-462.8624,4,East,631.176,Consumer,Standard Class,Pennsylvania,Binders
4,51,Shipped Early,Office Supplies,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,Aluminum Screw Posts,-24.416,8,West,36.624,Corporate,Standard Class,Colorado,Binders
4,340,Shipped Early,Furniture,Denver,United States,Bill Stewart,12/2/17,US-2017-112347,Hon 4-Shelf Metal Bookcases,-363.528,8,West,242.352,Corporate,Standard Class,Colorado,Bookcases
0,95,Shipped On Time,Office Supplies,Peoria,United States,Susan Vittorini,12/2/17,CA-2017-147767,Vinyl Sectional Post Binders,-45.24,6,West,67.86,Consumer,Same Day,Arizona,Binders
2,413,Shipped Early,Office Supplies,Houston,United States,Joy Smith,12/2/17,US-2017-147221,3.6 Cubic Foot Counter Height Office Refrigerator,-766.012,5,Central,294.62,Consumer,Second Class,Texas,Appliances
6,118,Shipped On Time,Office Supplies,Saginaw,United States,Joseph Holt,12/1/17,CA-2017-135860,"Tennsco Lockers, Gray",5.8744,4,Central,83.92,Consumer,Standard Class,Michigan,Storage
6,185,Shipped On Time,Technology,Saginaw,United States,Joseph Holt,12/1/17,CA-2017-135860,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,35.6346,2,Central,131.98,Consumer,Standard Class,Michigan,Phones
6,22,Shipped On Time,Office Supplies,Saginaw,United States,Joseph Holt,12/1/17,CA-2017-135860,"Avery Durable Slant Ring Binders, No Labels",7.4824,4,Central,15.92,Consumer,Standard Class,Michigan,Binders
6,73,Shipped On Time,Office Supplies,Saginaw,United States,Joseph Holt,12/1/17,CA-2017-135860,"Advantus Push Pins, Aluminum Head",16.2099,9,Central,52.29,Consumer,Standard Class,Michigan,Fasteners
6,129,Shipped On Time,Office Supplies,Saginaw,United States,Joseph Holt,12/1/17,CA-2017-135860,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",3.6796,1,Central,91.99,Consumer,Standard Class,Michigan,Storage
2,29,Shipped Early,Technology,New York City,United States,Craig Carreira,12/1/17,CA-2017-163139,Sabrent 4-Port USB 2.0 Hub,6.9258,3,East,20.37,Consumer,Second Class,New York,Accessories
2,311,Shipped Early,Office Supplies,New York City,United States,Craig Carreira,12/1/17,CA-2017-163139,Safco Industrial Shelving,6.6465,3,East,221.55,Consumer,Second Class,New York,Storage
4,64,Shipped Early,Office Supplies,Los Angeles,United States,Clay Cheatham,12/1/17,CA-2017-118542,Xerox 1905,21.7728,7,West,45.36,Consumer,Standard Class,California,Paper
5,27,Shipped Early,Office Supplies,Fairfield,United States,Alan Dominguez,12/1/17,CA-2017-143245,Xerox 214,9.3312,3,East,19.44,Home Office,Standard Class,Connecticut,Paper
5,1257,Shipped Early,Furniture,Fairfield,United States,Alan Dominguez,12/1/17,CA-2017-143245,Global Comet Stacking Armless Chair,251.202,3,East,897.15,Home Office,Standard Class,Connecticut,Chairs
7,59,Shipped Late,Office Supplies,Seattle,United States,Sean O'Donnell,12/1/17,CA-2017-166926,Xerox 1947,18.837,7,West,41.86,Consumer,Standard Class,Washington,Paper
7,199,Shipped Late,Furniture,Seattle,United States,Sean O'Donnell,12/1/17,CA-2017-166926,"Hon Metal Bookcases, Putty",41.1684,2,West,141.96,Consumer,Standard Class,Washington,Bookcases
5,99,Shipped Early,Furniture,Seattle,United States,Sally Hughsby,12/1/17,CA-2017-101805,Eldon Wave Desk Accessories,31.0992,12,West,70.68,Corporate,Standard Class,Washington,Furnishings
5,759,Shipped Early,Office Supplies,Seattle,United States,Sally Hughsby,12/1/17,CA-2017-101805,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",5.4124,4,West,541.24,Corporate,Standard Class,Washington,Storage
